station_name,hour,realized_incidents,blocked_incidents,total_attempts,realized_rate,mean_active_agents,mean_station_expected_lambda,blocked_rate
mint street,14,13,1,14,0.9285714285714286,23.285714285714285,0.11642857142857144,0.07142857142857142
mint street,15,13,1,14,0.9285714285714286,23.642857142857142,0.11821428571428572,0.07142857142857142
parkwood,15,13,2,15,0.8666666666666667,22.266666666666666,0.11133333333333333,0.13333333333333333
tryon street,3,13,3,16,0.8125,26.5,0.1325,0.1875
davidson st,3,13,5,18,0.7222222222222222,19.666666666666668,0.09833333333333333,0.2777777777777778
central piedmont community college,12,13,13,26,0.5,34.5,0.17250000000000001,0.5
9th street,3,12,0,12,1.0,6.666666666666667,0.38676825657864433,0.0
charlotte gateway station,18,12,0,12,1.0,14.166666666666666,0.07083333333333333,0.0
east/west,0,12,0,12,1.0,5.75,0.29371881521077653,0.0
elizabeth and hawthorne,17,12,0,12,1.0,15.666666666666666,0.07833333333333332,0.0
french street,21,12,0,12,1.0,16.416666666666668,0.08208333333333333,0.0
hawthorne and 5th,13,12,0,12,1.0,5.416666666666667,0.027083333333333334,0.0
johnson & wales,19,12,0,12,1.0,15.0,0.075,0.0
mint street,17,12,0,12,1.0,23.0,0.115,0.0
sunnyside,9,12,0,12,1.0,10.166666666666666,0.050833333333333335,0.0
sunnyside,10,12,0,12,1.0,14.333333333333334,0.07166666666666667,0.0
wesley heights way,3,12,0,12,1.0,9.333333333333334,0.04666666666666667,0.0
wesley heights way,12,12,0,12,1.0,13.416666666666666,0.06708333333333334,0.0
wesley heights way,22,12,0,12,1.0,10.916666666666666,0.05458333333333334,0.0
charlotte gateway station,16,12,1,13,0.9230769230769231,18.384615384615383,0.09192307692307693,0.07692307692307693
davidson st,9,12,2,14,0.8571428571428571,27.0,0.13499999999999998,0.14285714285714285
3rd street/convention center,2,12,5,17,0.7058823529411765,10.941176470588236,0.13808569153589503,0.29411764705882354
9th street,1,12,15,27,0.4444444444444444,10.25925925925926,0.5958858875390035,0.5555555555555556
central piedmont community college,14,12,16,28,0.42857142857142855,27.392857142857142,0.1369642857142857,0.5714285714285714
25th street,16,11,0,11,1.0,9.0,0.045,0.0
25th street,21,11,0,11,1.0,15.181818181818182,0.07590909090909091,0.0
brooklyn village,2,11,0,11,1.0,8.0,0.20303162182386958,0.0
brooklyn village,14,11,0,11,1.0,28.363636363636363,0.033717162521716,0.0
central piedmont community college,19,11,0,11,1.0,17.0,0.08499999999999999,0.0
davidson st,1,11,0,11,1.0,45.09090909090909,0.22545454545454546,0.0
french street,23,11,0,11,1.0,13.181818181818182,0.0659090909090909,0.0
irwin avenue,13,11,0,11,1.0,10.181818181818182,0.05090909090909091,0.0
johnson & wales,0,11,0,11,1.0,11.272727272727273,0.056363636363636366,0.0
johnson c. smith university,20,11,0,11,1.0,16.272727272727273,0.08136363636363636,0.0
parkwood,1,11,0,11,1.0,10.636363636363637,0.05318181818181818,0.0
sugar creek,6,11,0,11,1.0,6.7272727272727275,0.03363636363636364,0.0
sunnyside,4,11,0,11,1.0,19.636363636363637,0.09818181818181819,0.0
sunnyside,11,11,0,11,1.0,26.09090909090909,0.13045454545454546,0.0
sunnyside,12,11,0,11,1.0,13.090909090909092,0.06545454545454545,0.0
charlotte gateway station,14,11,2,13,0.8461538461538461,13.076923076923077,0.06538461538461539,0.15384615384615385
hawthorne and 8th,17,11,2,13,0.8461538461538461,11.923076923076923,0.05961538461538462,0.15384615384615385
davidson st,17,11,3,14,0.7857142857142857,10.857142857142858,0.054285714285714284,0.21428571428571427
mint street,11,11,3,14,0.7857142857142857,25.785714285714285,0.12892857142857142,0.21428571428571427
3rd street/convention center,5,11,4,15,0.7333333333333333,4.2,0.3274400728170634,0.26666666666666666
25th street,14,10,0,10,1.0,13.5,0.06749999999999999,0.0
3rd street/convention center,0,10,0,10,1.0,9.3,0.23154678088672923,0.0
7th st,16,10,0,10,1.0,15.8,0.06278888222461707,0.0
9th street,5,10,0,10,1.0,4.7,0.18853105869104866,0.0
9th street,8,10,0,10,1.0,17.7,0.04896940946127007,0.0
bland st,7,10,0,10,1.0,13.4,0.055935242301566615,0.0
